Inference for Stan model: Reaction Time A7.
4 chains, each with iter=8000; warmup=4000; thin=1; 
post-warmup draws per chain=4000, total post-warmup draws=16000.

             mean se_mean    sd   2.5%    25%    50%    75%  97.5% n_eff Rhat
theta1[19]   0.00    0.00  0.00   0.00   0.00   0.00   0.00   0.00   553 1.02
theta1[20]   0.00    0.00  0.00   0.00   0.00   0.00   0.00   0.00   442 1.02
theta1[21]   0.00    0.00  0.00   0.00   0.00   0.00   0.00   0.00   512 1.02
theta1[22]   0.00    0.00  0.00   0.00   0.00   0.00   0.00   0.00   505 1.02
theta1[23]   0.00    0.00  0.00   0.00   0.00   0.00   0.00   0.01   832 1.00
theta1[24]   0.00    0.00  0.00   0.00   0.00   0.00   0.00   0.00   443 1.02
theta1[25]   0.00    0.00  0.00   0.00   0.00   0.00   0.00   0.00   540 1.02
theta1[26]   0.00    0.00  0.00   0.00   0.00   0.00   0.00   0.00   599 1.02
theta1[27]   0.00    0.00  0.00   0.00   0.00   0.00   0.00   0.00   539 1.02
theta1[28]   0.00    0.00  0.00   0.00   0.00   0.00   0.00   0.01   818 1.00
theta1[29]   0.00    0.00  0.00   0.00   0.00   0.00   0.00   0.00   535 1.02
theta1[30]   0.00    0.00  0.00   0.00   0.00   0.00   0.00   0.00   456 1.02
theta1[31]   0.00    0.00  0.00   0.00   0.00   0.00   0.00   0.00   526 1.01
theta1[32]   0.00    0.00  0.00   0.00   0.00   0.00   0.00   0.00   475 1.02
theta1[33]   0.00    0.00  0.00   0.00   0.00   0.00   0.00   0.00   435 1.01
theta1[34]   0.00    0.00  0.00   0.00   0.00   0.00   0.00   0.00   527 1.02
sigma        0.16    0.00  0.01   0.14   0.15   0.16   0.16   0.17  5862 1.00
lp__       537.31    1.86 20.77 503.49 522.17 534.46 550.17 582.19   125 1.04

Samples were drawn using NUTS(diag_e) at Sat Jan 18 18:05:05 2020.
For each parameter, n_eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor on split chains (at 
convergence, Rhat=1).
